Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лазаренко,Арсен,Анатолійович,Чоловіча,2002-11-14,Штукатур,село Зоринськ,"площа Офіцерська, буд. 3, Новоград-Волинський, 59611",047 278-87-30,iefremartymovych@example.org
Яремчук,Віктор,Анатолійович,Чоловіча,2004-03-03,Реставратор,хутір Кропивницький,"провулок Салтикова-Щедріна, буд. 6, Березань , 82076",+380 74 572-13-86,svitlana82@example.com
Талан,Марко,Андрійович,Чоловіча,1980-04-08,Шериф,хутір Харцизьк,"парк Героїв оборони Одеси, буд. 35, Судак , 09998",+380 76 363 60 42,korzhleonid@example.org
Носенко,Варфоломій,Андрійович,Чоловіча,1940-02-20,Фотограф,місто Калуш,"шосе Аеропортівський 2-й, буд. 8 кв. 345, Синельникове, 28418",+380 23 563 30 82,nehodairyna@example.net
Чаленко,Демид,Володимирович,Чоловіча,2007-01-05,Кухар,хутір Київ,"узвіз Спартаківська, буд. 462, Євпаторія, 85098",+380 64 402-32-62,marko96@example.org
Верховинець,Пилип,Павлович,Чоловіча,2001-02-03,Пекар,хутір Пустомити,"вулиця Пішонівська, буд. 20, Красногорівка, 72991",+380 26 124-46-13,khorishkomykolai@example.com
Франко,Назар,Володимирович,Чоловіча,1993-02-28,Пекар,селище Волноваха,"сквер Надіїі, буд. 1, Здолбунів, 48209",683-18-19,amvrosiidatsiuk@example.net
Салій,Адам,Павлович,Чоловіча,1974-02-06,Перекладач,село Олександрівськ,"парк Одеський, буд. 12, Сєвєродонецьк, 79288",+380 (52) 999-58-92,iarynakarmaliuk@example.net
Журавель,Симон,Іванович,Чоловіча,1950-01-09,Ґрунтознавець,село Довжанськ,"вулиця Нежданової, буд. 915, Дрогобич, 17267",+380 27 499-25-60,orkhypredko@example.com
Байрак,Богуслав,Андрійович,Чоловіча,2007-05-19,Ботанік,хутір Вільногірськ,"шосе Солонцюватий, буд. 05 кв. 608, Моспине, 91634",+380 14 596 66 79,anita92@example.net
Онищенко,Левко,Олександрович,Чоловіча,1956-09-24,Режисер,селище Шостка,"узвіз Косяченка Олексія, буд. 62, Павлоград, 46879",+380 (81) 866-22-68,bhrechko@example.org
Рубець,Пармен,Володимирович,Чоловіча,1981-12-09,Стропальник,село Перевальськ,"проспект Академіка Вільямса, буд. 520 кв. 33, Прилуки, 47587",+380 20 133 43 67,fkadeniuk@example.org
Єсипенко,Хома,Павлович,Чоловіча,1984-09-16,Бібліограф,місто Ланівці,"сквер Мацієвської узвіз, буд. 7 кв. 0, Запоріжжя, 57435",+380 57 350-27-39,okseniia45@example.org
Таран,Феофан,Михайлович,Чоловіча,1979-03-01,Ґрунтознавець,хутір Новомосковськ,"парк Транспортна, буд. 716, Перещепине, 41575",+380 25 389 17 34,alina17@example.com
Бебешко,Федір,Анатолійович,Чоловіча,1967-07-22,Візажист,село Нововолинськ,"сквер Соляний 3-й, буд. 1, Білгород-Дністровський, 60304",+380 (81) 060-41-74,lizaovsiienko@example.com
Гайда,Едуард,Андрійович,Чоловіча,1967-12-13,Пекар,селище Узин,"проспект Художника Федорова, буд. 6, Герца, 98095",+380 26 802-26-42,atroshchenkoliubov@example.net
Христенко,Тимофій,Анатолійович,Чоловіча,1947-04-14,Професор,селище Сторожинець,"набережна Юхима Фесенка, буд. 1 кв. 6, Горохів, 67882",061 785-47-92,danna67@example.net
Бандура,Давид,Сергійович,Чоловіча,1978-02-14,Круп'є,селище Покровськ,"парк Юхима Геллера, буд. 810, Слов'янськ, 40522",+380 90 994-10-58,tbarabash@example.com
Дуплій,Орест,Олександрович,Чоловіча,1949-04-16,Флорист,місто Малин,"проспект Побратимів, буд. 666, Кам'янське, 06608",+380 09 255 91 24,lukian20@example.org
Дзиндра,Йосип,Іванович,Чоловіча,1948-08-31,Єгер,селище Овруч,"провулок Миколаївська дорога, буд. 263 кв. 97, Красногорівка, 27021",+380 56 513-93-58,iakivtsiutsiura@example.net
Ніколюк,Віктор,Павлович,Чоловіча,1943-01-13,Бібліограф,село Харків,"вулиця Терещенка Володимира, буд. 123 кв. 8, Олександрівськ, 27380",062 254-18-38,paliioleksandr@example.com
Матяш,Мартин,Андрійович,Чоловіча,1959-01-18,Електрослюсар,селище Богодухів,"шосе Краснова, буд. 823, Докучаєвськ, 52611",+380 18 567-99-77,cchuiko@example.org
Матвієнко,Валерій,Михайлович,Чоловіча,1991-08-09,Детектив,місто Каховка,"узвіз Партизанська, буд. 9, Хмільник, 59023",+380 (76) 232-07-19,malykhordii@example.org
Левченко,Ростислав,Іванович,Чоловіча,1953-03-20,Модельєр,селище Горішні Плавні,"парк Сєрова, буд. 24 кв. 1, Голубівка, 79133",037 502 88 75,mazepaihnat@example.com
Власюк,Юстим,Олександрович,Чоловіча,1992-12-16,Астрофізик,місто Підгайці,"вулиця Ризька, буд. 717 кв. 6, Угнів, 09678",059 117 97 20,oleksa33@example.net
Цимбал,Олег,Іванович,Чоловіча,1983-06-16,Письменник,місто Глухів,"набережна Гранатний, буд. 5, Амвросіївка, 20267",095 488 62 65,odarkasvystun@example.net
Непорожній,Леопольд,Анатолійович,Чоловіча,1945-06-10,Співак,селище Прилуки,"набережна Аеропортівський 3-й, буд. 068, Щастя , 89727",058 768-37-62,vduplii@example.org
Лемешко,Олег,Володимирович,Чоловіча,1965-03-04,Менеджер,селище Українськ,"шосе Восьмого березня 9-й, буд. 85 кв. 11, Нова Одеса, 05458",034 845 51 54,wtereshchuk@example.org
Удовенко,Валентин,Володимирович,Чоловіча,1988-06-22,Стропальник,місто Антрацит ,"набережна Уманська, буд. 14 кв. 2, Мала Виска, 21078",+380 76 159-68-58,odarkahrechanyk@example.net
Теліженко,Владислав,Петрович,Чоловіча,2006-11-19,Гірник,село Чернівці,"шосе 1-й Академічний тупик, буд. 8 кв. 897, Золочів, 15239",635-11-62,anton99@example.org
Ярема,Геннадій,Михайлович,Чоловіча,1949-10-28,Медик,місто Святогірськ,"вулиця Шевченка парк, буд. 75, Сторожинець, 13650",085 205 32 00,ustym70@example.net
Ґерус,Артем,Анатолійович,Чоловіча,1964-06-05,Етнограф,місто Богуслав,"набережна Лиманчик 2-й Лінія 1-ша, буд. 8, Долинська, 56772",041 011-26-70,edyta61@example.net
Овчаренко,Демид,Андрійович,Чоловіча,1981-03-26,Драматург,село Лозова ,"парк Гагаріна, буд. 88, Славутич, 79605",+380 90 132-32-48,heorhiiiurchuk@example.org
Міщенко,Орест,Юрійович,Чоловіча,2002-04-22,Ботанік,селище Новояворівськ,"вулиця Матроська Слобідка, буд. 9, Курахове, 19677",+380 07 414-62-03,bezborodkorostyslav@example.org
Гузенко,Федір,Юрійович,Чоловіча,1959-07-09,Петрограф,хутір Новоград-Волинський,"сквер Деволанівський узвіз, буд. 2 кв. 187, Христинівка, 94790",+380 (28) 394-19-06,marusiamykhailychenko@example.org
Луценко,Макар,Михайлович,Чоловіча,1943-05-02,Редактор,хутір Рахів,"узвіз Ползунова 1-й, буд. 64 кв. 09, Новгород-Сіверський, 52551",+380 11 272-91-32,valentyn56@example.org
Чумак,Єлисей,Петрович,Чоловіча,1975-03-13,Драматург,селище Пустомити,"узвіз Тінистий, буд. 520 кв. 14, Часів Яр, 97715",065 084-35-29,khrystychlevko@example.com
Забарний,Миколай,Андрійович,Чоловіча,1947-11-15,Футболіст,селище Кам'янка (Черкаська область),"набережна Рибальський, буд. 3 кв. 043, Вашківці, 07281",731-43-06,allatsiutsiura@example.com
